trade_count,reserve0,reserve1,kLast,price_usd
78.0,4146000.0,1625470.3328509408,6739200000000.0,0.39205748500987475
79.0,4153000.0,1622730.556224416,6739200000000.0,0.39073695069213005
80.0,4160000.0,1620000.0,6739200000000.0,0.3894230769230769
81.0,4167000.0,1617278.6177105831,6739200000000.0,0.3881158189850212
82.0,4174000.0,1614566.3632007667,6739200000000.0,0.38681513253492256
83.0,4181000.0,1611863.1906242527,6739200000000.0,0.3855209736006345
84.0,4188000.0,1609169.0544412606,6739200000000.0,0.38423329857718735
85.0,4195000.0,1606483.9094159715,6739200000000.0,0.38295206422311595
86.0,4202000.0,1603807.7106139932,6739200000000.0,0.3816772276568285
87.0,4209000.0,1601140.4133998575,6739200000000.0,0.38040874635301913
88.0,4216000.0,1598481.973434535,6739200000000.0,0.3791465781391212
